id,name,p_code,postal_code,ward_type,township_id:id,town_id:id,name_mm
vt_001005018,Jit Lai,MMR001005018,0107217,village_tract,township_001005,,ဂျစ်လိုင်
vt_001005019,Yi Jaw,MMR001005019,0107218,village_tract,township_001005,,ရစ်ဂျော်
vt_001005020,Mawng Gong,MMR001005020,0107219,village_tract,township_001005,,မောင်ဂုန်
vt_001005021,Kyin Htong,MMR001005021,0107220,village_tract,township_001005,,ကျင်ထုံး
vt_001005022,Lang Jaw,MMR001005022,0107221,village_tract,township_001005,,လန်းဂျော
vt_001005023,Htaw Gawt,MMR001005023,0107222,village_tract,township_001005,,ထောဂေါ့
vt_001005024,Bawm Myan,MMR001005024,0107223,village_tract,township_001005,,ဘောမ်မြန်
vt_001005025,La Gway,MMR001005025,0107224,village_tract,township_001005,,လဂွေ
vt_001005026,Hpa Re,MMR001005026,0107225,village_tract,township_001005,,ဖရဲ
vt_001005027,Lang Yang,MMR001005027,0107226,village_tract,township_001005,,လန်ယန်
vt_001005028,Bwi Lat,MMR001005028,0107227,village_tract,township_001005,,ဗွီလပ်
vt_001005029,Gam Hkun,MMR001005029,0107228,village_tract,township_001005,,ဂမ်ခွန်း
vt_001005030,Shi Kyang,MMR001005030,0107229,village_tract,township_001005,,ရှီးကျန်
vt_001005031,Htum Shing,MMR001005031,0107230,village_tract,township_001005,,ထွမ်းရှိန်
vt_001005032,Nu Zung Baung,MMR001005032,0107231,village_tract,township_001005,,နုဇုန်ဘောင်
vt_001005033,Gawt Yum,MMR001005033,0107232,village_tract,township_001005,,ဂေါ့ယွမ်
vt_001005034,Chit Gaw,MMR001005034,0107233,village_tract,township_001005,,ချစ်ဂေါ
vt_001005035,Hpi Maw,MMR001005035,0107234,village_tract,township_001005,,ဖီမော
vt_001005036,Htan Dung,MMR001005036,0107235,village_tract,township_001005,,ထန်းဒုန်
vt_001005037,La Ngaw Hkaw,MMR001005037,0107236,village_tract,township_001005,,လငေါ်ခေါ
vt_001005038,Sa Du Law,MMR001005038,0107237,village_tract,township_001005,,ဆာဒူလော
vt_001005039,Ngwar Hpa Hkar,MMR001005039,0107238,village_tract,township_001005,,ငွါးဖခါး
vt_001005040,Kan Hpant,MMR001005040,0107239,village_tract,township_001005,,ကန်းဖန့်
vt_001005041,Lu Pi,MMR001005041,0107240,village_tract,township_001005,,လုပိ
vt_001005042,Loke Nawt Jang,MMR001005042,0107241,village_tract,township_001005,,လုတ်နော့ဂျန်
ward_001005701501,Yit Law Hkaung Ward,MMR001005701501,0107001,ward,township_001005,town_001005701,ရစ်လောခေါင်ရပ်ကွက်
ward_001005701502,Oke Kat Ward,MMR001005701502,0107002,ward,township_001005,town_001005701,ဥက္ကပ်ရပ်ကွက်
ward_001005701503,Ba Leit Dan Ward,MMR001005701503,0107003,ward,township_001005,town_001005701,ဘာလဲ့ဒမ်ရပ်ကွက်
